ID,Q,A
1,企業について詳しく知りたいのですが…？,企業ファイルコーナーへ！求人票コピー、パンフレットなどを50音順で企業ごとに収納してあります。
2,求人企業検索システムを使いたいのですが…？,パソコンコーナーへ！各企業のホームページにアクセスすることもできます。
3,就職活動についての悩みはどこで相談すれば良いですか？,就職相談カウンターへ！担当者がアドバイスします。
4,会社説明会、企業展などの情報を知りたいのですが…？,会社説明会・ポスターコーナーへ！ポスターが掲示してあります。
5,就職関係の資料ってコピーできますか？,コピーコーナーへ！資料のコピーを有料で行うことができます。
6,インターンシップについて相談があるのですが…？,インターンシップ相談カウンターへ！担当者がアドバイスします。
7,何から手をつけたら良いかわからないのですが…。,まずは、就職活動の流れを把握しましょう。また、キャリアセンターが実施するガイダンスに積極的に参加しましょう。
8,エントリーシートで人事の方が気にされる点は何ですか？,「その学生を採用することで、企業にとってメリットが生まれるか」です。そのためには、あなたの強みや意欲をわかりやすく伝える必要があります。
9,自己分析はどのように進めればいいですか？,自己分析の第一歩は、過去や現在の自分を把握することです。書き出しながら整理してみましょう。
10,自分にあった業界や職種を探すにはどうしたら良いですか？,どんな業界や職種があるかを調べ、自分の強みややりたいことと照らし合わせてみましょう。
11,面接が心配です。何に注意したら良いでしょうか？,企業はあなたの「社会人としてのコミュニケーション力」を見ているので、内容はもちろん、表情や言葉遣いなどにも気を配りましょう。
12,承諾書提出後の内定辞退は可能ですか？,できません。掲示された承諾事項を受け入れたことで企業との間に契約関係が成立します。
13,公務員が第一志望ですが、民間企業の就職活動と両立できますか？,スケジュールを調整すれば公務員試験も受験できます。民間企業でなく、異なった業種や行政区の公務員試験を併願する方法もあります。
14,志望企業の説明会の予約が満席になってしまったらどうしたら良いですか？,企業の人事担当者に連絡してみましょう。すぐに諦めずに、「どうしても参加したい」という意志を伝えるくらいのやる気を見せる意識が必要です。
15,2社の最終面接がぶつかってしまったらどうするべきですか？,日程調整が可能かどうか、まず確認しましょう。どうしても難しいときは、より志望の強い企業へ強い入社意思を見せ、率直に相談するのも良いでしょう。
16,集団面接で自分が答えようと思っていた内容を先に話されてしまったら…？,直前になって慌てて別の答えを考え出すより、同じような内容を、視点を変えて話してみましょう。
17,選考結果の連絡が来ないときは？,合否に関わらず連絡しますと言われたのに、2週間を過ぎても連絡がない場合、問い合わせをしてみましょう。
18,第一志望でない企業から内定が出たら受けるべきですか？,もし第一志望に落ちたらぜひ行きたい、と思える企業であれば、内定を受けておく方が良いでしょう。
