ID,会社名,業種,職種,本社所在地,事業内容,電話番号,URL,OB・OG,パンフレット
1,清水建設株式会社,建設業：総合（土木・建築）,事務職　ｺﾝﾋﾟｭｰﾀ関連職　ｼｽﾃﾑｴﾝｼﾞﾆｱ　機械・電気設計職　建築・土木設計職,東京都中央区京橋2-16-1,国内外建設事業(建築･土木･設備等建設工事の請負)不動産投資開発事業､PFI事業､都市開発　他　,03-3561-1111,http://www.shimz.co.jp/,88,1
2,株式会社トーエネック,建設業：設備工事･ﾌﾟﾗﾝﾄ･内装,営業職　事務職　管理・ﾏﾈｰｼﾞﾒﾝﾄ職　生産管理・品質管理職　施工管理職,愛知県名古屋市中区栄1-20-31,総合設備工事業:電力供給(配電ﾙｰﾄの建設)屋内線電気･空調衛生､情報通信設備工事他,052-221-1111,http://www.toenec.co.jp/,213,1
3,東洋建設株式会社,建設業：総合（土木・建築）,事務職　施工管理職　開発・研究職　機械・電気設計職　建築・土木設計職,東京都江東区青海2-4-24 青海フロンティアビル,総合建設業（海上土木、陸上土木、建築）,03-6361-5450,http://www.toyo-const.co.jp/,5,1
4,矢作建設グループ,建設業：総合（土木・建築）,営業職　事務職　施工管理職　建築・土木設計職,愛知県名古屋市東区葵3-19-7 葵ｾﾝﾀｰﾋﾞﾙ,総合建設業、不動産開発、環境緑化、ﾋﾞﾙﾏﾈｼﾞﾒﾝﾄﾘﾌｫｰﾑ、耐震診断･補強、道路舗装　等,052-935-2393,http://www.yahagi.co.jp,73,0
5,日本道路株式会社,建設業：土木･橋梁･造園･鉄骨,技術職　総合職,東京都港区新橋1-6-5,道路建設及び舗装工事、一般土木工事、一般建築工事ｽﾎﾟｰﾂﾚｼﾞｬｰ施設工事、空港・港湾工事　他　,03-3571-4041,http://www.nipponroad.co.jp/,1,0
6,ＮＥＣファシリティーズ株式会社,建設業：建築･建設,開発・研究職　機械・電気設計職　建築・土木設計職　専門・資格職（整備士含む）,東京都港区芝2-22-12 ＮＥＣ第二別館,建設、施設管理、環境、不動産、保険,03-3455-1110,http://www.necf.jp/,0,0
7,新生テクノス株式会社,建設業：設備工事･ﾌﾟﾗﾝﾄ･内装,事務職　施工管理職,東京都港区芝公園2-4-1 芝ﾊﾟｰｸﾋﾞﾙB館6F,鉄道電気設備、建築電気設備、情報通信設備などの工事の施工管理・保守管理及び設計・積算,03-3432-6311,http://www.stknet.co.jp/,54,1
8,株式会社ＴＴＫ,建設業：設備工事･ﾌﾟﾗﾝﾄ･内装,事務職　施工管理職　技術職,宮城県仙台市若林区新寺1-2-23,通信設備、電気設備の設計･施工･保守･ｺﾝｻﾙﾃｨﾝｸﾞ情報関連設備のｼｽﾃﾑｲﾝﾃｸﾞﾚｰｼｮﾝ　他,022-297-5111,http://www.ttk-g.co.jp/,3,0
9,日本振興株式会社,建設業：ｺﾝｻﾙﾀﾝﾄ･設計事務所,施工管理職　技術職　建築・土木設計職,大阪府泉南市りんくう南浜3-2,建設コンサルタント補償コンサルタント,072-484-5200,http://www.nihon-shinko.com,1,0
10,小平興業株式会社,建設業：総合（土木・建築）,施工管理職　技術職　建築・土木設計職,栃木県宇都宮市西川田町1164,建設業(土木・環境・防災),028-658-1600,http://kodaira-k.com,0,0
11,シャープ株式会社,メーカー：情報通信機械器具,開発・研究職　機械・電気設計職,大阪府堺市堺区匠町1,電気機器、電子部品等の製造・販売等,072-282-0415,http://www.sharp.co.jp/corporate/recruit/,3,0
12,株式会社大成製作所,メーカー：一般機械･産業機械,技術職　製造・生産関連職,愛知県西尾市羽塚町東山12,合板機械製造金属加工　組立　メンテナンス,0563-59-7185,http://www.taiseiworks.co.jp,0,0
13,株式会社パロマ,メーカー：金属製品･金属加工品,営業職　技術職　機械・電気設計職　製造・生産関連職,愛知県名古屋市瑞穂区桃園町6-23,ガス機器の開発・製造・販売・アフターメンテナンス,052-824-5167,http://www.paloma.co.jp/,14,1
14,ヤマザキマザック株式会社,メーカー：一般機械･産業機械,営業職　貿易事務職　技術職　機械・電気設計職　一般職,愛知県丹羽郡大口町竹田1-131,ＣＮＣ工作機械・ＦＡシステム・生産支援ソフトウェア・レーザ加工機等開発･生産･販売・輸出,0587-95-6352,http://www.mazak.jp,70,1
15,住友電装株式会社,メーカー：電気機械・照明,技術職　一般職,三重県四日市市浜田町5-28,自動車用・機器用ワイヤーハーネスの製造販売ワイヤーハーネス用・電気機器用部品の製造販売,059-354-6200,http://www.sws.co.jp/index.html,104,1
16,名古屋製酪株式会社（スジャータ）,メーカー：食品･食料,営業職　販売職　製造・生産関連職　総合職,愛知県名古屋市天白区中砂町310,ｽｼﾞｬｰﾀ･乳製品･豆乳･ｺｰﾋｰ･果汁飲料･ﾚﾄﾙﾄ食品･冷凍食品調理加工食品･ｼﾙｸｱｲｽ･洋菓子等の製造および販売,052-831-6688,http://www.sujahta.co.jp,27,1
17,株式会社メイドー,メーカー：自動車･輸送機器･関連,営業職　技術職　開発・研究職,愛知県豊田市三軒町4-5,自動車ボルト・ナット、精密冷間圧造部品の製造,0565-31-0330,http://www.meidoh.co.jp,41,0
18,アイホン株式会社,メーカー：情報通信機械器具,営業職　技術職　開発・研究職　一般職,愛知県名古屋市中区新栄町1-1 明治安田生命名古屋ビル10F,通信機器・音響機器の製造販売,052-228-8181,http://www.aiphone.co.jp,68,1
19,シヤチハタ株式会社,メーカー：その他製品,開発・研究職　総合職,愛知県名古屋市西区天塚町4-69,文具事務用機器の製造・販売・輸出入,052-521-3653,http://www.shachihata.co.jp/,38,1
20,株式会社葵商店,メーカー：鉄鋼業,営業職　製造・生産関連職　総合職,愛知県岡崎市牧平町字岩田3-28,金属製品　製造業主に自動車用鋼板の加工,0564-82-3432,http://www.aoi-syoten.co.jp,3,1
21,リコージャパン株式会社,商社：機械器具･ＯＡ製品,営業職　ｺﾝﾋﾟｭｰﾀ関連職　ｼｽﾃﾑｴﾝｼﾞﾆｱ,東京都港区芝3-8-2 芝公園ﾌｧｰｽﾄﾋﾞﾙ,リコーのデジタル複合機・プリンター、ICT・ネットワーク関連商品の販売、アフターフォロー等,050-3534-0767,http://www.ricoh.co.jp/sales/about/,2,1
22,日本食研ホールディングス株式会社,商社：食品･飲料,営業職　事務職　生産管理・品質管理職　開発・研究職　製造・生産関連職,愛媛県今治市富田新港1-3,ブレンド調味料・香辛料の製造販売食品関連資材・器具の販売 など,0898-24-1881,http://www.nihonshokken.co.jp,4,0
23,株式会社八神製作所,商社：機械器具･ＯＡ製品,営業職　販売職　ｼｽﾃﾑｴﾝｼﾞﾆｱ　技術職,愛知県名古屋市中区千代田2-16-30,病院への医療機器の販売及び保守点検・修理。福祉施設、個人様への福祉用具の販売、レンタル。,052-251-6671,http://www.yagami.co.jp,8,1
24,株式会社ヒラタ,商社：医薬･化学･化粧品･ｺﾞﾑ･ﾌﾟﾗｽﾁｯｸ,営業職　総合職,大阪府大阪市北区中津7-4-24 ﾋﾗﾀﾋﾞﾙ,大手機器メーカーに対する自社製品の企画顧客のニーズに合わせた提案営業等,06-6458-8131,http://www.hiratagroup.com/,0,1
25,株式会社立花エレテック,商社：機械器具･ＯＡ製品,営業職　事務職　開発・研究職　機械・電気設計職　総合職,大阪府大阪市西区西本町1-13-25,ＦＡ・半導体を中心とした関連製品の販売各種システムの提案から設計、開発、稼動まで,06-6539-2711,http://www.tachibana.co.jp/,12,0
26,カリモクグループ　カリモク家具株式会社,商社：家具･ｲﾝﾃﾘｱ･什器･陶器,生産管理・品質管理職　製造・生産関連職,愛知県知多郡東浦町大字藤江字皆栄町108,１、木製家具の製造（資材工場4社、製造工場5社）２、木製家具の卸売（全国28営業所）,0562-83-1111,http://www.karimoku.co.jp/,6,1
27,株式会社ダイキアクシス,商社：建材・木材・再生資源,営業職　生産管理・品質管理職　施工管理職　開発・研究職　機械・電気設計職,愛媛県松山市美沢1-9-1,浄化槽を中心とした各種排水処理装置の設計・施工各種建設材料・住宅設備機器の販売・施工,089-927-3330,http://www.daiki-axis.com/,1,0
28,株式会社菱和,商社：機械器具･ＯＡ製品,営業職　事務職　ｼｽﾃﾑｴﾝｼﾞﾆｱ　管理・ﾏﾈｰｼﾞﾒﾝﾄ職　総合職,大阪府大阪市福島区福島6-13-14,自動車部品・電装品、カーオーディオ、カーナビ、ＥＴＣ、半導体素子、分煙機器等の販売・保守等,06-6458-0052,http://www.ryowa.co.jp,2,1
29,協伸工業株式会社,商社：機械器具･ＯＡ製品,営業職,愛知県名古屋市中区栄4-6-15 ﾌｫｰﾃｨｰﾝﾋﾙｽﾞｾﾝﾀｰﾋﾞﾙ5階,圧縮機、モ－トル、インクジェットプリンタ等産業用電気機器の販売、システム設計、保守、設置工事,052-261-1521,http://www.kyoshin-gr.co.jp,2,0
30,川口薬品株式会社,商社：医薬･化学･化粧品･ｺﾞﾑ･ﾌﾟﾗｽﾁｯｸ,営業職　開発・研究職　製造・生産関連職,東京都中央区日本橋本町3-9-2,化学工業薬品の製造販売,03-3662-7181,http://www.kawaguchichemical.co.jp,1,0
31,株式会社なか卯,流通：ﾚｽﾄﾗﾝ･外食･給食,営業職　サービス職　店舗運営職　総合職,東京都港区港南2-18-1 ＪＲ品川ｲｰｽﾄﾋﾞﾙ5階,「丼ぶりとうどん」を主体とした和食ファストフードチェーン店及びそのチェーン本部の経営,03-6833-9494,http://www.nakau.co.jp,0,0
32,エザキ株式会社,流通：ｶﾞｿﾘﾝｽﾀﾝﾄﾞ・燃料,営業職　販売職　営業事務　店舗運営職　管理・ﾏﾈｰｼﾞﾒﾝﾄ職,愛知県名古屋市東区代官町38-15,石油製品販売、車の販売・買取、メンテナンスレンタカー,052-935-8646,http://www.ezaki-web.jp/recruit/,0,1
33,株式会社ファイントラスト,流通：自動車販売・自動車部品,営業職,愛知県春日井市六軒屋町4-18,中古車販売　中古車買取り　整備、板金,0568-86-2000,http://www.fine-trust.com/,0,0
34,株式会社和僑,流通：その他(ﾒｶﾞﾈ･薬局･書籍・ｽﾎﾟｰﾂ等）,販売職　事務職　ｺﾝﾋﾟｭｰﾀ関連職　総合職　一般職,神奈川県相模原市緑区橋本3-29-6 橋本センタービル4F,チケット売買自動販売機設置運営,042-772-9316,http://www.wakyo2005.com/,0,0
